"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","Tryps","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",0,1,1,4,0.2,2,13,0.133333333333333,3,13,0.1875,3,19,0.136363636363636,4,26,0.133333333333333,6,33,0.153846153846154,10,42,0.192307692307692,13,49,0.209677419354839,17,56,0.232876712328767,18,60,0.230769230769231,22,90,0.196428571428571,28,115,0.195804195804196,37,139,0.210227272727273,46,164,0.219047619047619,49,190,0.205020920502092,51,222,0.186813186813187,55,247,0.182119205298013
"7893","79796354","79796354-2012-08-28",10,0,2012-08-28,"HA1",2012,"M","Adult",0,0,1,2,0.333333333333333,1,15,0.0625,1,20,0.0476190476190476,1,24,0.04,1,33,0.0294117647058824,1,34,0.0285714285714286,2,38,0.05,2,40,0.0476190476190476,2,44,0.0434782608695652,2,46,0.0416666666666667,3,55,0.0517241379310345,6,73,0.0759493670886076,8,87,0.0842105263157895,11,105,0.0948275862068965,15,115,0.115384615384615,17,136,0.111111111111111,20,148,0.119047619047619
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",1,1,0,1,0,1,5,0.166666666666667,2,9,0.181818181818182,5,17,0.227272727272727,6,33,0.153846153846154,6,35,0.146341463414634,8,36,0.181818181818182,8,40,0.166666666666667,10,44,0.185185185185185,10,48,0.172413793103448,14,65,0.177215189873418,18,88,0.169811320754717,25,110,0.185185185185185,32,153,0.172972972972973,42,189,0.181818181818182,45,205,0.18,47,209,0.18359375
"7895","79796354","79796354-2012-09-25",10,20,2012-09-25,"HA1",2012,"M","Adult",1,0,0,3,0,1,23,0.0416666666666667,2,35,0.0540540540540541,4,46,0.08,7,62,0.101449275362319,7,70,0.0909090909090909,7,76,0.0843373493975904,7,84,0.0769230769230769,7,92,0.0707070707070707,8,97,0.0761904761904762,17,121,0.123188405797101,21,137,0.132911392405063,23,156,0.128491620111732,33,177,0.157142857142857,40,217,0.155642023346304,54,247,0.179401993355482,58,259,0.182965299684543
"7921","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult",0,0,0,0,NA,2,10,0.166666666666667,3,19,0.136363636363636,4,28,0.125,5,53,0.0862068965517241,6,60,0.0909090909090909,6,67,0.0821917808219178,9,82,0.0989010989010989,10,92,0.0980392156862745,10,97,0.0934579439252336,15,112,0.118110236220472,18,129,0.122448979591837,26,150,0.147727272727273,32,180,0.150943396226415,41,201,0.169421487603306,47,211,0.182170542635659,47,211,0.182170542635659
"7926","79797359","79797359-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",0,0,0,2,0,1,13,0.0714285714285714,3,21,0.125,4,28,0.125,8,45,0.150943396226415,8,50,0.137931034482759,9,55,0.140625,11,67,0.141025641025641,11,77,0.125,13,80,0.139784946236559,20,115,0.148148148148148,26,149,0.148571428571429,32,163,0.164102564102564,38,190,0.166666666666667,47,211,0.182170542635659,47,211,0.182170542635659,47,211,0.182170542635659
"7941","79797793","79797793-2012-09-28",0,10,2012-09-28,"HA1",2012,"F","Adult",0,0,0,4,0,1,24,0.04,2,32,0.0588235294117647,3,39,0.0714285714285714,4,51,0.0727272727272727,4,53,0.0701754385964912,5,58,0.0793650793650794,6,73,0.0759493670886076,9,77,0.104651162790698,9,79,0.102272727272727,9,105,0.0789473684210526,16,129,0.110344827586207,23,154,0.129943502824859,30,174,0.147058823529412,42,208,0.168,53,251,0.174342105263158,67,287,0.189265536723164
"7943","79797793","79797793-2012-11-20",0,10,2012-11-20,"HA1",2012,"F","Adult",0,0,0,9,0,1,40,0.024390243902439,3,56,0.0508474576271186,4,72,0.0526315789473684,6,91,0.0618556701030928,7,94,0.0693069306930693,9,104,0.079646017699115,10,123,0.075187969924812,14,127,0.099290780141844,15,130,0.103448275862069,16,173,0.0846560846560847,25,216,0.103734439834025,35,259,0.119047619047619,48,297,0.139130434782609,70,361,0.162412993039443,91,431,0.174329501915709,111,491,0.184385382059801
"7955","79797834","79797834-2012-08-28",60,80,2012-08-28,"HA1",2012,"F","NotAdult",0,1,0,0,NA,0,3,0,2,5,0.285714285714286,4,11,0.266666666666667,6,23,0.206896551724138,6,29,0.171428571428571,7,30,0.189189189189189,9,36,0.2,12,43,0.218181818181818,14,46,0.233333333333333,17,70,0.195402298850575,24,91,0.208695652173913,24,109,0.180451127819549,27,131,0.170886075949367,28,157,0.151351351351351,29,167,0.147959183673469,29,167,0.147959183673469
"7960","79797884","79797884-2012-10-24",30,80,2012-10-24,"HA1",2012,"M","Adult",0,0,0,0,NA,1,7,0.125,4,13,0.235294117647059,11,35,0.239130434782609,20,73,0.21505376344086,23,88,0.207207207207207,25,100,0.2,33,122,0.212903225806452,43,142,0.232432432432432,44,149,0.227979274611399,63,197,0.242307692307692,71,246,0.22397476340694,88,307,0.222784810126582,97,369,0.208154506437768,101,418,0.194605009633911,107,437,0.196691176470588,108,439,0.197440585009141
"7962","79797893","79797893-2012-08-30",0,30,2012-08-30,"HA1",2012,"M","Adult",0,0,0,2,0,1,12,0.0769230769230769,1,16,0.0588235294117647,1,21,0.0454545454545455,2,34,0.0555555555555556,3,39,0.0714285714285714,3,47,0.06,5,54,0.0847457627118644,6,66,0.0833333333333333,6,68,0.0810810810810811,9,87,0.09375,13,99,0.116071428571429,16,110,0.126984126984127,19,130,0.12751677852349,21,148,0.124260355029586,32,168,0.16,35,184,0.159817351598174
